Documento_Ingreso,Documento_Actual,Codigo,Apellido_1_Estudiante,Apellido_2_Estudiante,Nombres_Estudiante,Acceso,Subacceso,Correo_Institucional,Sexo,Facultad_o_Escuela,Programa,Semestre,Creditos_inscritos,Codigo_Asignatura,Nombre_Asignatura,Creditos_Asignatura,Grupo_Asignatura,Tipologia_Asignatura,Nota_1er_Corte,Corte_1p,Nota_2do_Corte,Corte_2p,Nota_3er_Corte,Corte_3p,Nota_4to_Corte,Corte_4p,Nota_5to_Corte,Corte_5p
495148,85855,937607,Rambaut,Lemus,Daniel,Extranjero,GENERAL,daniel.felipe@urosario.edu.co,M,"ESCUELA DE INGENIERIA,CIENCIA Y TECNOLOGIA",MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,3,17,796089,CÁLCULO 2,3,1,OBLIGATORIA,4.3,20,4.6,20,3.9,20,3.9,15,3.9,25
495148,85855,937607,Rambaut,Lemus,Daniel,Extranjero,GENERAL,daniel.felipe@urosario.edu.co,M,"ESCUELA DE INGENIERIA,CIENCIA Y TECNOLOGIA",MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,3,17,883658,ALGEBRA LINEAL,3,2,OBLIGATORIA,4.1,20,3.5,20,4.5,20,4.5,15,4.5,25
495148,85855,937607,Rambaut,Lemus,Daniel,Extranjero,GENERAL,daniel.felipe@urosario.edu.co,M,"ESCUELA DE INGENIERIA,CIENCIA Y TECNOLOGIA",MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,3,17,955203,MANEJO DE BASE DE DATOS,3,1,OBLIGATORIA,4.1,20,3.8,20,4.7,20,4.7,15,4.7,25
495148,85855,937607,Rambaut,Lemus,Daniel,Extranjero,GENERAL,daniel.felipe@urosario.edu.co,M,"ESCUELA DE INGENIERIA,CIENCIA Y TECNOLOGIA",MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,3,17,382530,PROBABILIDAD,3,1,OBLIGATORIA,3.2,20,4.4,20,4.2,20,4.2,15,4.2,25
495148,85855,937607,Rambaut,Lemus,Daniel,Extranjero,GENERAL,daniel.felipe@urosario.edu.co,M,"ESCUELA DE INGENIERIA,CIENCIA Y TECNOLOGIA",MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,3,17,428629,TEORÍA DE GRAFOS,3,1,OBLIGATORIA,4.4,20,4.5,20,3.5,20,3.5,15,3.5,25
495148,85855,937607,Rambaut,Lemus,Daniel,Extranjero,GENERAL,daniel.felipe@urosario.edu.co,M,"ESCUELA DE INGENIERIA,CIENCIA Y TECNOLOGIA",MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,3,17,748061,ESCRITURA DE ENSAYOS DE OPINIÓN,2,1,OBLIGATORIA,4.0,20,3.6,20,3.4,20,3.4,15,3.4,25
495148,85855,937607,Rambaut,Lemus,Daniel,Extranjero,GENERAL,daniel.felipe@urosario.edu.co,M,"ESCUELA DE INGENIERIA,CIENCIA Y TECNOLOGIA",MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,2,18,655987,CÁLCULO 1,3,2,OBLIGATORIA,4.2,20,4.7,20,4.4,20,4.4,15,4.4,25
495148,85855,937607,Rambaut,Lemus,Daniel,Extranjero,GENERAL,daniel.felipe@urosario.edu.co,M,"ESCUELA DE INGENIERIA,CIENCIA Y TECNOLOGIA",MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,2,18,759213,ARQUITECTURA DEL COMPUTADOR,3,1,OBLIGATORIA,4.2,20,3.9,20,4.1,20,4.1,15,4.1,25
495148,85855,937607,Rambaut,Lemus,Daniel,Extranjero,GENERAL,daniel.felipe@urosario.edu.co,M,"ESCUELA DE INGENIERIA,CIENCIA Y TECNOLOGIA",MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,2,18,259845,ALGORITMOS Y ESTRUCTURAS DE DATOS,3,1,OBLIGATORIA,2.7,20,3.0,20,4.7,20,4.7,15,4.7,25
495148,85855,937607,Rambaut,Lemus,Daniel,Extranjero,GENERAL,daniel.felipe@urosario.edu.co,M,"ESCUELA DE INGENIERIA,CIENCIA Y TECNOLOGIA",MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,2,18,222109,LÓGICA PARA CIENCIAS DE LA COMPUTACIÓN,2,1,OBLIGATORIA,3.9,20,3.0,20,2.6,20,2.6,15,2.6,25
